ID_Cliente,Cancelacion,Genero,Adulto_Mayor,Tiene_Pareja,Tiene_Dependientes,Meses_Contrato,Suscripcion_Servicio_Telefono,Suscripcion_Multiples_Lineas,Suscripcion_Servicio_Internet,Suscripcion_Seguridad_En_Linea,Suscripcion_Respaldo_En_Linea,Suscripcion_Proteccion_Dispositivo,Suscripcion_Soporte_Técnico,Suscripcion_TV_Streaming,Suscripcion_Películas_Streaming,Tipo_Contrato,Factura_Electronica,Metodo_Pago,Factura_Mensual,Cargos_Totales,Cuentas_diarias
0021-IKXGC,no,Female,1,no,no,1,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,72.1,72.1,2.4
0022-TCJCI,yes,Male,1,no,no,45,yes,no,DSL,Yes,no,yes,no,no,yes,One year,no,Credit card (automatic),62.7,2791.5,2.1
0023-HGHWL,yes,Male,1,no,no,1,no,no,DSL,No,no,no,no,no,no,Month-to-month,yes,Electronic check,25.1,25.1,0.8
0023-UYUPN,no,Female,1,yes,no,50,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Electronic check,25.2,1306.3,0.8
0023-XUOPT,yes,Female,0,yes,no,13,yes,yes,Fiber optic,No,yes,yes,no,yes,no,Month-to-month,no,Electronic check,94.1,1215.6,3.1
0027-KWYKW,no,Female,0,yes,yes,23,yes,yes,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,83.75,1849.95,2.8
0030-FNXPP,no,Female,0,no,no,3,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.85,57.2,0.7
0031-PVLZI,yes,Female,0,yes,yes,4,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.35,76.35,0.7
0032-PGELS,yes,Female,0,yes,yes,1,no,no,DSL,Yes,no,no,no,no,no,Month-to-month,no,Bank transfer (automatic),30.5,30.5,1.0
0036-IHMOT,no,Female,0,yes,yes,55,yes,no,Fiber optic,No,yes,yes,yes,yes,yes,One year,yes,Bank transfer (automatic),103.7,5656.75,3.5
0040-HALCW,no,Male,0,yes,yes,54,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),20.4,1090.6,0.7
0042-JVWOJ,no,Male,0,no,no,26,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Bank transfer (automatic),19.6,471.85,0.7
0042-RLHYP,no,Female,0,yes,yes,69,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),19.7,1396.9,0.7
0048-LUMLS,no,Male,0,yes,yes,37,yes,no,Fiber optic,No,no,no,no,yes,yes,One year,no,Credit card (automatic),91.2,3247.55,3.0
0048-PIHNL,no,Female,0,yes,no,49,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),20.45,900.9,0.7
0052-DCKON,no,Male,0,yes,no,66,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,One year,no,Bank transfer (automatic),115.8,7942.15,3.9
0052-YNYOT,no,Female,0,no,no,67,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Electronic check,20.55,1343.4,0.7
0056-EPFBG,no,Male,0,yes,yes,20,no,no,DSL,Yes,no,yes,yes,no,no,Two year,yes,Credit card (automatic),39.4,825.4,1.3
0057-QBUQH,no,Female,0,no,yes,43,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Electronic check,25.1,1070.15,0.8
0058-EVZWM,no,Female,0,yes,no,55,yes,yes,Fiber optic,Yes,no,no,no,yes,no,Month-to-month,yes,Bank transfer (automatic),89.8,4959.6,3.0
0060-FUALY,no,Female,0,yes,no,59,yes,yes,Fiber optic,Yes,yes,no,no,yes,no,Month-to-month,yes,Electronic check,94.75,5597.65,3.2
0064-SUDOG,no,Female,0,yes,yes,12,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),20.3,224.5,0.7
0064-YIJGF,no,Male,0,yes,yes,27,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),75.75,1929.0,2.5
0067-DKWBL,yes,Male,1,no,no,2,yes,no,DSL,Yes,no,no,no,no,no,Month-to-month,yes,Electronic check,49.25,91.1,1.6
0068-FIGTF,no,Female,0,no,no,27,yes,no,DSL,No,yes,yes,yes,yes,yes,One year,no,Mailed check,78.2,2078.95,2.6
0071-NDAFP,no,Male,0,yes,yes,25,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),25.5,630.6,0.8
0074-HDKDG,no,Male,0,yes,yes,25,yes,no,DSL,Yes,yes,yes,no,no,no,One year,yes,Bank transfer (automatic),61.6,1611.0,2.1
0076-LVEPS,no,Male,0,no,yes,29,no,no,DSL,Yes,yes,yes,yes,no,no,Month-to-month,yes,Mailed check,45.0,1242.45,1.5
0078-XZMHT,no,Male,0,yes,no,72,yes,yes,DSL,No,yes,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),85.15,6316.2,2.8
0080-EMYVY,no,Female,0,no,no,14,yes,no,DSL,No,yes,no,no,no,no,One year,no,Credit card (automatic),51.45,727.85,1.7
0080-OROZO,no,Female,0,no,no,35,yes,no,Fiber optic,No,no,yes,yes,yes,yes,One year,yes,Electronic check,99.25,3532.0,3.3
0082-LDZUE,no,Male,0,no,no,1,yes,no,DSL,No,no,no,no,no,no,Month-to-month,yes,Mailed check,44.3,44.3,1.5
0082-OQIQY,no,Male,0,no,no,29,yes,no,Fiber optic,No,no,no,yes,yes,yes,Month-to-month,yes,Electronic check,94.2,2607.6,3.1
0083-PIVIK,no,Male,0,no,no,64,yes,yes,DSL,Yes,yes,yes,yes,yes,no,One year,no,Electronic check,81.25,5567.55,2.7
0089-IIQKO,no,Female,0,yes,yes,39,yes,yes,Fiber optic,No,no,no,yes,yes,yes,Month-to-month,yes,Credit card (automatic),99.95,3767.4,3.3
0093-EXYQL,no,Female,1,no,no,40,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Electronic check,91.55,3673.6,3.1
0093-XWZFY,yes,Male,0,no,no,40,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,Month-to-month,yes,Credit card (automatic),104.5,4036.85,3.5
0094-OIFMO,yes,Female,1,no,no,11,yes,no,Fiber optic,No,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,95.0,1120.3,3.2
0096-BXERS,no,Female,0,yes,no,6,yes,yes,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,50.35,314.55,1.7
0096-FCPUF,no,Male,0,no,no,30,yes,yes,DSL,Yes,no,no,no,no,yes,Month-to-month,yes,Mailed check,64.5,1888.45,2.2
0098-BOWSO,no,Male,0,no,no,27,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Electronic check,19.4,529.8,0.6
0100-DUVFC,no,Male,1,yes,no,70,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,One year,yes,Electronic check,104.8,7308.95,3.5
0103-CSITQ,no,Female,0,yes,no,57,yes,yes,Fiber optic,No,yes,yes,yes,yes,yes,One year,yes,Bank transfer (automatic),109.4,6252.7,3.6
0104-PPXDV,no,Male,0,yes,no,58,yes,no,DSL,No,no,yes,no,no,no,One year,no,Credit card (automatic),50.3,2878.55,1.7
0106-GHRQR,no,Male,0,no,no,16,yes,yes,DSL,No,yes,yes,no,no,yes,Month-to-month,yes,Bank transfer (automatic),71.4,1212.1,2.4
0106-UGRDO,no,Female,0,yes,no,69,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Electronic check,116.0,8182.85,3.9
0107-WESLM,yes,Male,0,no,no,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Electronic check,19.85,19.85,0.7
0107-YHINA,yes,Male,0,no,yes,1,yes,yes,Fiber optic,No,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,99.75,99.75,3.3
0111-KLBQG,no,Male,1,yes,yes,32,yes,no,Fiber optic,No,yes,no,no,yes,yes,Month-to-month,yes,Mailed check,93.95,2861.45,3.1
0112-QAWRZ,no,Male,0,yes,yes,16,yes,yes,Fiber optic,No,no,yes,no,yes,no,Month-to-month,yes,Bank transfer (automatic),90.8,1442.2,3.0
0112-QWPNC,yes,Male,0,yes,no,49,yes,yes,DSL,Yes,no,yes,yes,yes,yes,One year,no,Electronic check,84.35,4059.35,2.8
0114-IGABW,no,Female,0,yes,no,71,no,no,DSL,No,yes,yes,yes,yes,yes,Two year,no,Bank transfer (automatic),58.25,4145.9,1.9
0114-PEGZZ,no,Female,0,no,no,33,yes,yes,Fiber optic,No,yes,yes,no,yes,yes,Month-to-month,no,Electronic check,107.55,3645.5,3.6
0114-RSRRW,no,Female,0,yes,no,10,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Bank transfer (automatic),19.95,187.75,0.7
0115-TFERT,yes,Male,0,yes,no,21,yes,yes,Fiber optic,No,yes,yes,yes,yes,yes,Month-to-month,yes,Electronic check,111.2,2317.1,3.7
0117-LFRMW,yes,Male,0,yes,yes,37,no,no,DSL,Yes,yes,yes,no,no,no,Month-to-month,no,Bank transfer (automatic),40.2,1448.8,1.3
0118-JPNOY,no,Female,1,no,no,26,yes,no,Fiber optic,Yes,no,no,no,yes,no,Month-to-month,yes,Credit card (automatic),85.8,2193.65,2.9
0121-SNYRK,no,Male,0,no,no,50,no,no,DSL,Yes,no,no,yes,no,no,One year,yes,Mailed check,35.4,1748.9,1.2
0122-OAHPZ,yes,Female,0,no,no,7,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,73.85,511.25,2.5
0123-CRBRT,no,Female,0,yes,yes,61,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,no,Mailed check,88.1,5526.75,2.9
0125-LZQXK,yes,Male,0,no,no,15,yes,no,Fiber optic,No,no,yes,yes,yes,yes,Month-to-month,yes,Electronic check,101.35,1553.95,3.4
0128-MKWSG,no,Female,0,no,yes,26,no,no,DSL,Yes,no,no,yes,no,yes,Month-to-month,no,Mailed check,45.8,1147.0,1.5
0129-KPTWJ,no,Male,0,yes,no,72,yes,no,Fiber optic,No,no,yes,no,yes,yes,Month-to-month,yes,Electronic check,94.65,6747.35,3.2
0129-QMPDR,no,Male,0,yes,yes,44,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Bank transfer (automatic),20.5,865.05,0.7
0130-SXOUN,no,Male,0,no,no,66,yes,yes,Fiber optic,No,yes,no,no,no,yes,Month-to-month,no,Credit card (automatic),89.4,5976.9,3.0
0133-BMFZO,yes,Female,0,no,no,2,yes,no,Fiber optic,Yes,yes,no,yes,no,no,Month-to-month,yes,Electronic check,86.25,181.65,2.9
0134-XWXCE,no,Female,1,no,no,44,yes,no,DSL,No,no,yes,yes,yes,yes,One year,no,Bank transfer (automatic),74.85,3268.05,2.5
0135-NMXAP,yes,Female,0,no,no,12,yes,yes,Fiber optic,No,yes,no,no,yes,no,Month-to-month,yes,Bank transfer (automatic),89.75,1052.4,3.0
0136-IFMYD,no,Male,1,yes,no,69,yes,yes,Fiber optic,No,yes,yes,yes,yes,yes,Two year,yes,Electronic check,109.95,7634.25,3.7
0137-OCGAB,yes,Female,0,no,no,1,yes,yes,Fiber optic,No,yes,no,no,no,no,Month-to-month,yes,Mailed check,80.2,80.2,2.7
0137-UDEUO,yes,Female,0,no,no,3,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.85,63.75,0.7
0139-IVFJG,no,Female,0,yes,no,2,yes,no,Fiber optic,Yes,yes,no,no,yes,no,Month-to-month,no,Electronic check,90.35,190.5,3.0
0141-YEAYS,no,Female,1,no,no,27,yes,yes,Fiber optic,No,yes,yes,no,no,no,Month-to-month,yes,Bank transfer (automatic),86.45,2401.05,2.9
0142-GVYSN,no,Male,0,no,no,26,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,yes,Electronic check,20.3,511.25,0.7
0147-ESWWR,no,Female,1,yes,no,39,yes,yes,Fiber optic,No,no,no,yes,yes,yes,Month-to-month,yes,Electronic check,101.25,3949.15,3.4
0148-DCDOS,yes,Male,0,no,no,25,yes,yes,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Bank transfer (automatic),94.7,2362.1,3.2
0151-ONTOV,yes,Female,0,no,no,1,yes,no,Fiber optic,No,no,no,no,no,no,Month-to-month,no,Mailed check,70.9,70.9,2.4
0156-FVPTA,yes,Male,0,yes,no,22,yes,no,DSL,Yes,no,no,yes,no,no,Month-to-month,yes,Electronic check,54.2,1152.7,1.8
0164-APGRB,no,Female,0,no,no,72,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Electronic check,114.9,8496.7,3.8
0164-XAIRP,no,Female,0,no,no,24,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Bank transfer (automatic),19.55,470.2,0.7
0168-XZKBB,no,Female,0,yes,no,19,yes,yes,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,86.85,1564.4,2.9
0174-QRVVY,no,Male,0,yes,yes,71,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Credit card (automatic),25.35,1847.55,0.8
0177-PXBAT,no,Male,1,yes,no,33,yes,yes,Fiber optic,Yes,no,yes,yes,yes,yes,Month-to-month,yes,Bank transfer (automatic),109.9,3694.7,3.7
0178-CIIKR,no,Female,0,no,no,3,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.95,58.0,0.7
0178-SZBHO,no,Male,0,yes,yes,47,yes,yes,Fiber optic,No,yes,no,no,yes,no,Month-to-month,no,Electronic check,87.2,4017.45,2.9
0181-RITDD,no,Male,0,yes,yes,62,yes,no,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,no,Mailed check,108.15,6825.65,3.6
0186-CAERR,no,Male,0,no,no,71,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,One year,yes,Bank transfer (automatic),116.3,8309.55,3.9
0187-QSXOE,no,Male,1,yes,no,7,yes,no,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Electronic check,89.0,605.45,3.0
0187-WZNAB,no,Female,0,yes,yes,27,yes,no,Fiber optic,Yes,no,no,no,no,no,Month-to-month,no,Mailed check,74.4,1972.35,2.5
0188-GWFLE,no,Male,0,no,no,2,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,20.05,33.7,0.7
0191-EQUUH,no,Female,0,no,yes,25,no,no,DSL,Yes,no,no,yes,no,no,Two year,no,Bank transfer (automatic),35.05,844.45,1.2
0191-ZHSKZ,no,Male,1,no,no,30,yes,no,DSL,Yes,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,74.75,2111.3,2.5
0193-ESZXP,yes,Female,1,yes,no,58,yes,no,Fiber optic,Yes,yes,no,yes,yes,yes,One year,yes,Credit card (automatic),105.5,6205.5,3.5
0195-IESCP,yes,Male,0,yes,no,10,yes,yes,Fiber optic,No,no,no,no,no,yes,Month-to-month,yes,Electronic check,85.25,855.3,2.8
0196-JTUQI,no,Female,0,no,no,9,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Credit card (automatic),75.2,633.85,2.5
0196-VULGZ,yes,Female,1,yes,no,6,yes,yes,Fiber optic,No,no,no,no,no,yes,Month-to-month,yes,Electronic check,84.35,474.9,2.8
0197-PNKNK,no,Female,0,yes,yes,69,yes,yes,Fiber optic,Yes,no,yes,no,no,no,One year,no,Bank transfer (automatic),84.45,5848.6,2.8
0201-MIBOL,no,Female,1,no,no,66,yes,yes,Fiber optic,Yes,no,no,no,yes,yes,Two year,yes,Bank transfer (automatic),102.4,6471.85,3.4
0201-OAMXR,yes,Female,0,no,no,70,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,One year,no,Credit card (automatic),115.55,8127.6,3.9
0203-HHYIJ,yes,Male,0,no,no,25,yes,yes,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Bank transfer (automatic),25.3,676.35,0.8
0206-OYVOC,no,Female,0,yes,yes,46,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,yes,Mailed check,19.25,864.2,0.6
0206-TBWLC,no,Female,0,yes,no,54,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,One year,yes,Mailed check,114.65,6049.5,3.8
0207-MDKNV,yes,Female,0,no,no,15,yes,no,Fiber optic,Yes,no,yes,yes,yes,yes,Month-to-month,no,Electronic check,105.1,1582.75,3.5
0208-BPQEJ,no,Female,0,yes,yes,12,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Bank transfer (automatic),19.4,198.1,0.6
0212-ISBBF,no,Female,0,no,no,22,no,no,DSL,No,yes,no,no,yes,yes,Month-to-month,yes,Electronic check,50.35,1098.85,1.7
0214-JHPFW,no,Female,0,yes,no,70,no,no,DSL,No,yes,yes,yes,yes,yes,Two year,no,Bank transfer (automatic),57.8,4039.3,1.9
0215-BQKGS,no,Male,0,no,no,30,yes,no,Fiber optic,Yes,yes,yes,no,no,no,Month-to-month,yes,Credit card (automatic),84.3,2438.6,2.8
0218-QNVAS,no,Male,0,yes,yes,71,yes,yes,Fiber optic,No,yes,no,no,yes,yes,One year,no,Bank transfer (automatic),100.55,7113.75,3.4
0219-QAERP,no,Male,0,yes,no,30,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,no,Credit card (automatic),19.8,576.65,0.7
0219-YTZUE,yes,Male,0,yes,yes,4,yes,yes,Fiber optic,No,yes,yes,no,no,no,Month-to-month,yes,Bank transfer (automatic),84.8,371.9,2.8
0220-EBGCE,yes,Male,0,no,no,2,yes,no,Fiber optic,No,no,yes,no,no,yes,Month-to-month,yes,Electronic check,85.85,167.3,2.9
0221-NAUXK,no,Male,0,no,yes,10,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,One year,yes,Bank transfer (automatic),19.95,219.5,0.7
0221-WMXNQ,no,Male,1,no,no,4,yes,no,Fiber optic,Yes,no,no,no,no,no,Month-to-month,no,Electronic check,75.35,273.4,2.5
0222-CNVPT,no,Male,1,no,no,52,no,no,DSL,Yes,no,no,no,yes,yes,Month-to-month,yes,Credit card (automatic),48.8,2555.05,1.6
0224-HJAPT,yes,Male,0,no,no,5,yes,yes,DSL,No,no,no,no,no,no,Month-to-month,no,Electronic check,47.15,223.15,1.6
0224-NIJLP,no,Male,0,yes,yes,8,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Mailed check,20.15,165.5,0.7
0224-RLWWD,no,Female,1,no,no,2,yes,no,DSL,No,no,no,no,no,no,Month-to-month,yes,Electronic check,44.3,89.3,1.5
0225-ZORZP,no,Male,0,no,no,3,yes,no,Fiber optic,No,yes,no,no,no,yes,Month-to-month,no,Electronic check,84.3,235.05,2.8
0228-MAUWC,no,Male,0,no,no,19,yes,yes,DSL,No,no,yes,yes,no,no,Month-to-month,no,Electronic check,59.55,1144.6,2.0
0229-LFJAF,no,Male,0,no,no,72,yes,yes,DSL,Yes,yes,yes,yes,no,no,Two year,no,Bank transfer (automatic),69.65,4908.25,2.3
0230-UBYPQ,no,Male,1,yes,no,63,no,no,DSL,Yes,no,no,yes,no,no,One year,no,Bank transfer (automatic),36.1,2298.9,1.2
0230-WEQUW,no,Male,0,yes,no,66,no,no,DSL,Yes,yes,yes,yes,yes,no,Two year,yes,Bank transfer (automatic),56.6,3789.2,1.9
0231-LXVAP,yes,Male,0,no,no,1,yes,no,Fiber optic,No,no,no,yes,no,no,Month-to-month,yes,Electronic check,75.9,75.9,2.5
0233-FTHAV,no,Female,0,no,no,60,yes,yes,Fiber optic,No,no,yes,no,no,no,One year,yes,Bank transfer (automatic),79.2,4765.0,2.6
0234-TEVTT,no,Female,0,yes,yes,48,no,no,DSL,Yes,no,yes,no,no,yes,One year,no,Credit card (automatic),45.0,2196.3,1.5
0235-KGSLC,yes,Female,0,no,no,1,yes,no,Fiber optic,No,no,yes,no,yes,no,Month-to-month,yes,Credit card (automatic),85.55,85.55,2.9
0236-HFWSV,yes,Male,0,no,no,15,yes,yes,Fiber optic,No,no,no,no,yes,yes,Month-to-month,yes,Electronic check,93.35,1444.65,3.1
0237-YFUTL,no,Female,0,yes,no,50,yes,yes,Fiber optic,Yes,yes,no,yes,yes,yes,Month-to-month,yes,Bank transfer (automatic),109.65,5405.8,3.7
0238-WHBIQ,no,Male,0,yes,yes,72,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,no,Credit card (automatic),89.7,6339.3,3.0
0239-OXEXL,no,Female,0,no,no,46,yes,yes,Fiber optic,Yes,yes,no,no,no,no,Month-to-month,no,Mailed check,84.25,3847.6,2.8
0244-LGNFY,no,Female,0,yes,yes,72,yes,yes,DSL,Yes,yes,yes,yes,yes,yes,Two year,no,Bank transfer (automatic),92.65,6733.0,3.1
0247-SLUJI,no,Male,0,yes,yes,1,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Month-to-month,no,Mailed check,19.7,19.7,0.7
0248-IPDFW,no,Female,0,no,no,1,yes,yes,DSL,No,no,no,no,no,no,Month-to-month,yes,Electronic check,50.1,50.1,1.7
0248-PGHBZ,no,Female,1,no,no,67,yes,no,Fiber optic,Yes,yes,no,yes,yes,no,Two year,yes,Bank transfer (automatic),92.45,6140.85,3.1
0253-ZTEOB,no,Female,0,yes,yes,48,yes,yes,DSL,No,yes,no,yes,yes,yes,Two year,no,Electronic check,79.65,3870.3,2.7
0254-FNMCI,no,Female,0,no,no,72,yes,no,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Electronic check,109.9,7624.2,3.7
0254-KCJGT,no,Male,0,yes,no,52,yes,yes,DSL,Yes,yes,yes,yes,no,yes,One year,yes,Credit card (automatic),81.4,4354.45,2.7
0254-WWRKD,no,Female,0,yes,yes,67,yes,no,DSL,No,yes,no,no,no,no,One year,no,Credit card (automatic),50.55,3431.75,1.7
0256-LTHVJ,yes,Female,0,yes,yes,28,yes,no,Fiber optic,No,no,no,no,no,yes,Month-to-month,yes,Electronic check,81.05,2227.1,2.7
0257-KXZGU,no,Female,0,yes,yes,32,yes,yes,DSL,No,yes,yes,no,no,no,Month-to-month,no,Bank transfer (automatic),62.45,2045.55,2.1
0257-ZESQC,yes,Female,1,yes,no,27,yes,no,Fiber optic,Yes,no,no,no,no,no,Month-to-month,yes,Bank transfer (automatic),75.2,1929.35,2.5
0258-NOKBL,no,Male,0,no,no,3,yes,no,Fiber optic,No,yes,yes,no,no,yes,Month-to-month,no,Electronic check,90.4,268.45,3.0
0259-GBZSH,yes,Male,0,no,no,2,yes,yes,Fiber optic,No,no,no,no,yes,no,Month-to-month,yes,Electronic check,85.65,181.5,2.9
0260-ZDLGK,yes,Female,0,no,yes,9,yes,no,DSL,No,no,yes,yes,yes,yes,Month-to-month,yes,Mailed check,72.9,651.4,2.4
0263-FJTQO,no,Male,0,yes,yes,50,yes,yes,DSL,Yes,no,no,yes,yes,no,Two year,yes,Credit card (automatic),70.5,3486.65,2.4
0264-CNITK,no,Female,0,yes,yes,71,yes,no,No,No internet service,no internet service,no internet service,no internet service,no internet service,no internet service,Two year,no,Bank transfer (automatic),20.1,1389.6,0.7
0265-EDXBD,yes,Male,1,yes,no,32,yes,yes,Fiber optic,No,no,no,no,no,no,Month-to-month,yes,Electronic check,74.9,2303.35,2.5
0265-PSUAE,no,Female,0,yes,yes,16,yes,no,Fiber optic,Yes,no,yes,no,yes,yes,Month-to-month,no,Bank transfer (automatic),100.7,1522.7,3.4
0266-CLZKZ,no,Female,0,yes,yes,67,yes,yes,Fiber optic,No,no,yes,yes,yes,yes,Two year,yes,Bank transfer (automatic),105.65,6717.9,3.5
0266-GMEAO,no,Male,0,yes,yes,72,yes,yes,Fiber optic,Yes,yes,yes,yes,yes,yes,Two year,yes,Credit card (automatic),114.3,8058.55,3.8
